policy_id,source_section,source_start,source_end,source_sha256,target_path,target_start,target_end,read_before,source_preservation,semantic_review,enforcement
P001,Qello Repository Agent Contract,3,3,50ce8491c235c3591dc05e1c72054ddce080a7fd6811d10d0c2643396951a457,AGENTS.md,3,3,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P012,1. 작업 시작 게이트,28,28,8dcf02d4ba1ba9ec5dc93fb34c309b335ccf4d8ea86d1f249954b8357dd1bc8d,AGENTS.md,28,28,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P013,1. 작업 시작 게이트,30,32,3c179843cb3892f840ed4e8a4344a6bb979397405ebd269f226072ba4a7c6ef2,AGENTS.md,30,32,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P014,1. 작업 시작 게이트,34,34,b6672c72634035d093f32379b15236b21ff7d3f8b4e0f2996d4151606aa4d31a,AGENTS.md,34,34,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P015,1. 작업 시작 게이트,36,39,b1ab89317a2e4f963e4530fc41020f3281b95ec7fab4e5e7acef102411f38275,AGENTS.md,36,39,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P016,1. 작업 시작 게이트,41,41,229b0b56aba38b2c56da730373a6300b50b35ebc06d5ae577e177168d9d5a10b,AGENTS.md,41,41,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P017,1. 작업 시작 게이트,43,43,1b6c6f3f81317e3278ed3aebdee0aef23e87a6812a1375d2e48acf87d4b64a74,AGENTS.md,43,43,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P018,1. 작업 시작 게이트,45,45,7bc8adfccb14298df19acac65548722cd9f4bdb33b7ea3e676840152dfd7c5b1,AGENTS.md,45,45,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P019,1. 작업 시작 게이트,46,46,e082adedc4ce21092470e0a0a055896f4ffcc38c32291c530d76b8d260404e7d,AGENTS.md,46,46,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P020,1. 작업 시작 게이트,47,47,5c8646536533137ba314e4a962e74ae47c68fe9815a0380a117ee1dd1b820d54,AGENTS.md,47,47,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P021,1. 작업 시작 게이트,48,48,e640527525c8cca779db48e8d09ce03bb79673752b7a3f1f389241087f9a6827,AGENTS.md,48,48,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P022,1. 작업 시작 게이트,49,49,a806d533d85f3ab53da2539dfc617788fb2c5085f75faaa56240ec03c655f58e,AGENTS.md,49,49,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P023,1. 작업 시작 게이트,51,51,b97f8586c13568fb071ca73bd1665151f71e9c5616ebfeb24decb8a1f7527d7e,AGENTS.md,51,51,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P024,2. 역할 분리,55,55,247d4d3ced47a4563dc9ad9269862b2904a4886b1f62775b4b3362a4c64b8ec6,AGENTS.md,55,55,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P025,2.1 오케스트레이터,59,59,4249fdb6f8ad75b947d1d5c48893bea1ca29b6e920ce14e5ff2af682c7bfc518,AGENTS.md,59,59,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P026,2.1 오케스트레이터,61,61,0b519a16e96c78c10e0b344f4f3888e9b717b8588ece31b8861661087df59965,AGENTS.md,61,61,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P027,2.1 오케스트레이터,62,62,4759d92778efc737d3c4a9992cac44b7f45cac98ca6eb13ebc8c4d8e11f88408,AGENTS.md,62,62,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P028,2.1 오케스트레이터,63,63,9e2d78182dbf87acc76bc90a526cb706b9776336d61bbcfc70f029b65857472a,AGENTS.md,63,63,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P029,2.1 오케스트레이터,64,64,615e7fc0e96614a81bf092d702559ae9ae20d020bc202d198eccaf7a85b94940,AGENTS.md,64,64,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P030,2.1 오케스트레이터,65,65,5c75a68bdf8046292b53a1045196e876fcd4886b66082b98c9b8ba6372def711,AGENTS.md,65,65,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P031,2.1 오케스트레이터,66,66,d1bfb292a7a9f793b53e3f3f052b2203477736509f52dd176c793aa6df2f04c5,AGENTS.md,66,66,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P032,2.1 오케스트레이터,67,67,ff2335571d03bb4f1b96af5bcd37303bbd0fcd7123c6eccb0a5676ef4944e93c,AGENTS.md,67,67,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P033,2.1 오케스트레이터,69,69,603b4d2faaaffdda409836ec9ce79f6686292a8f70a37c3b6be810d90acfe812,AGENTS.md,69,69,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P034,2.1 오케스트레이터,71,71,917d2b3964a1869a2bca570b832fab07d34cf4ccd29fe1f4f305d2f954868c54,AGENTS.md,71,71,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P035,2.1 오케스트레이터,72,72,b660002040eb64c180175c7c5e79403dc01205313de8c7d5a55ecec4cb374fd4,AGENTS.md,72,72,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P036,2.1 오케스트레이터,73,73,d02c2f569b66a58c3964222a13f98f142cd51843ef4f41e083eaa3f067aa8bea,AGENTS.md,73,73,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P037,2.1 오케스트레이터,74,74,b420223f8bcb8bff4fdd18759e0688b688c3d512cf801a0280ae222275a00fa1,AGENTS.md,74,74,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P038,2.1 오케스트레이터,75,75,f10fb942773657f19c4aedb46de18ec0f0c0b782ed1d2c003bb069643e71e4f6,AGENTS.md,75,75,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P039,2.2 실행 에이전트,79,79,cb1fe42c9641e6b641fd6fd39bd9187ca70e61e39e805f5b0f9c3fb7a89551e2,AGENTS.md,79,79,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P040,2.2 실행 에이전트,81,81,e39189a1b2c5edc66673e0217d11652fc890c0bfedec33d673cfc293a9e533ac,AGENTS.md,81,81,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P041,2.2 실행 에이전트,82,82,8a4aa46b8920a50d30e30151ee32e76156e0ee72489a1699455ec2a44933c32c,AGENTS.md,82,82,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P042,2.2 실행 에이전트,83,83,ef55c87dff14b7df6d4ee9bde73702376cc8a14d65bde8c2ead335195ebdcfb7,AGENTS.md,83,83,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P043,2.2 실행 에이전트,84,84,15a8879c369ca1ac3cff281a8267a3b22708d58433fca1e3530ad3f434561cd3,AGENTS.md,84,84,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P044,2.2 실행 에이전트,85,85,d4d147aa1c55d929304d86a625817b22ec20fa318f7fcab0f8bbcdec74c5d4ce,AGENTS.md,85,85,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P045,2.2 실행 에이전트,86,86,20759dfe9242e8e135dea15f0ca72cb718b9484497a78a665cb5b1ff11de82f0,AGENTS.md,86,86,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P046,2.3 검증 에이전트,90,90,d0d23cb501a5029a0b0899d63e778c900f9c47ffe4e47df6d5a50228023bf734,AGENTS.md,90,90,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P047,2.3 검증 에이전트,92,92,1a4a44cc77ede9e6bd16dd61d884040fe5ed89476a955efac3c8319868d5852c,AGENTS.md,92,92,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P048,2.3 검증 에이전트,93,93,d5e2b118e3b61b4e8966f5e9bac6a1e103506963d6b10b9e935c077a05f62b6a,AGENTS.md,93,93,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P049,2.3 검증 에이전트,94,94,68e7445c1e876d03c2e6a6f54d1ad0f63ea01879b51461068ed3241fe34b57c8,AGENTS.md,94,94,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P050,2.3 검증 에이전트,95,95,d1d565f85845f20691fc82343b9f1e5956fcddbd7ae912102c43777c5f61c416,AGENTS.md,95,95,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P051,2.3 검증 에이전트,96,96,be9536dd71563c501706abb8788a956b581ecec5f9879505a9dd0b06fd49d093,AGENTS.md,96,96,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P052,2.4 PM 및 리뷰어,100,100,cc00510abdfec58c01df551c0a7135d069b69146f04af6412dcd4bdac4ae5ec5,AGENTS.md,100,100,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P053,2.4 PM 및 리뷰어,102,102,be916d9309301cacd2f6b4ce85c3f21b80ef0673702e05a307a3531cc6a653f9,AGENTS.md,102,102,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P054,2.4 PM 및 리뷰어,103,103,a61b3d8f6d5928ca39341148f5e8e7ecee0abf347436c593dd46317e91ba0423,AGENTS.md,103,103,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P055,2.4 PM 및 리뷰어,104,104,87cdba8219f172efef4f1d3074add2fe6b7eb4aa8935718eb93277d4385b0703,AGENTS.md,104,104,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P056,2.4 PM 및 리뷰어,105,105,44c8d1bd04c1e0e4b51f5352eaad9b364a810b2504dc9c1262f3fc126b71d342,AGENTS.md,105,105,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P057,2.4 PM 및 리뷰어,106,106,2f5af38196651280c20f1e45500de1f4fa0692fb251a1289f220df4684984f8d,AGENTS.md,106,106,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P058,2.4 PM 및 리뷰어,107,107,db90e796777ca190a4b2bfc1887d4f472009bad23c7d4d145f416fa9277b6230,AGENTS.md,107,107,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P059,2.4 PM 및 리뷰어,108,108,22fa108e953be7f0235e322b47fdc933d4863240b6510b0d064fdb5aff40d8b6,AGENTS.md,108,108,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P060,2.4 PM 및 리뷰어,109,109,5d4b3405f07ace9cc919351ce95d939a3fa8ea815df799743c3f8b11d41a0143,AGENTS.md,109,109,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P061,2.4 PM 및 리뷰어,111,111,d06878775fbcd1799d142ccaf474dc3e3bb919fa60188d402157323a0627631a,AGENTS.md,111,111,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P062,3. 테스트 규칙,115,115,6aa21c61fd59670aaa8ca506248f60f964527c012b474d6f97a5f8dfa0445cad,.agents/skills/harness-test-plan/references/test-policy.md,5,5,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P063,3. 테스트 규칙,116,116,9e7f4be54ea19ed347ac7753fdd3e67deca834c5d3cc674227a7364bc343de0e,.agents/skills/harness-test-plan/references/test-policy.md,6,6,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P064,3. 테스트 규칙,117,117,00965868a80db0fec01b8c3cbc560a5bc0471be255de3b4569e22dfb9344059e,.agents/skills/harness-test-plan/references/test-policy.md,7,7,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P065,3. 테스트 규칙,118,118,1252414c83596e74e06b4bb51b139637494819a2501ae299098b885ba42a8744,.agents/skills/harness-test-plan/references/test-policy.md,8,8,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P066,3. 테스트 규칙,119,119,05604c485b757ae4ae2355a51df31f576faa52a8ea99542ab27f80da23e669b6,.agents/skills/harness-test-plan/references/test-policy.md,9,9,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P067,3. 테스트 규칙,120,120,74417acdc823552518a457a341c40736b4f13d4862d82a1dcb2125edee11a171,.agents/skills/harness-test-plan/references/test-policy.md,10,10,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P068,3. 테스트 규칙,121,121,d9a6da4e9a356c5e8bd7e4ab70ddfa4ec7fa6f036add5402be2ced9e79f5b47a,.agents/skills/harness-test-plan/references/test-policy.md,11,11,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P069,3. 테스트 규칙,123,123,dd404104f9e2757c03e94c63a36af769b52c67ae237c0ac77521ee519d4eea70,.agents/skills/harness-test-plan/references/test-policy.md,13,13,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P070,3. 테스트 규칙,125,130,bbc1ab8524aeb9d7fd0e7cb1b042801e48f1b67008aa3e488af3081ab0e1bcd3,.agents/skills/harness-test-plan/references/test-policy.md,15,20,test planning/writing,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P071,3. 테스트 규칙,132,132,c7e9d7b080c765f0f425bd65f981071bf598e15950d541b7d2575bc46cebb14e,.agents/skills/harness-test-run/references/reporting.md,3,3,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P072,3. 테스트 규칙,134,134,828c22da6a12f222f0a0118dfcd5d47b71a4d1d62572dbc4f15cfacbb2c92454,.agents/skills/harness-test-run/references/reporting.md,5,5,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P073,3. 테스트 규칙,136,136,c3b12ae8be294a96cc40e6ee952a56bb6c048e3d63f35237ae6229b3c56fa5e4,.agents/skills/harness-test-run/references/reporting.md,7,7,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P074,3. 테스트 규칙,137,137,5c8996d0c67403c93406b4ab15f11ef09e506f5cd5107b9badad14e28eca83a0,.agents/skills/harness-test-run/references/reporting.md,8,8,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P075,3. 테스트 규칙,138,138,f1d687939930145798db438328be33063956c0d61aea0dcf21407e43e8f72d83,.agents/skills/harness-test-run/references/reporting.md,9,9,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P076,3. 테스트 규칙,139,139,31935d2c12c68aa541274888c1ec6f6c8afd1de41742fbb39dd169f0e2c7a522,.agents/skills/harness-test-run/references/reporting.md,10,10,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P077,3. 테스트 규칙,140,140,2ec090844d8e097179ab53616975129101a6894d7951ae5e7b21c3a8f95d17eb,.agents/skills/harness-test-run/references/reporting.md,11,11,test execution/reporting,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P078,4.1 IaC 정책,146,146,a6c25b003afd9162b47487818c9aff68fa29855ff7d275278306f27eda2e9383,AGENTS.md,129,129,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P079,4.1 IaC 정책,148,148,deb187d361a10b5b99d264569b30c3e5c815a50f67ba2bae8b7bc7086b7511aa,AGENTS.md,131,131,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P080,4.1 IaC 정책,150,150,78b8bdf3717be365946a22a2b21fe0b214200dfbcf55df7466c7df209697235f,AGENTS.md,133,133,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P081,4.1 IaC 정책,151,151,7e7b967270ae8f3a7c501091bbf6193e35c38e03c9d3720ea4caec8d2f2ac08e,AGENTS.md,134,134,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P082,4.1 IaC 정책,152,152,186101fc6eef7bb8a6a4235499c816bf5e02c06141b7736fd62eeadfd0305229,AGENTS.md,135,135,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P083,4.1 IaC 정책,153,153,dd6e79d0512f65818d31336cc994cfdfeede27e7ddfc551ed234e4f999533c5c,AGENTS.md,136,136,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P084,4.1 IaC 정책,154,154,7e45b7fcd259c136da6bd2a5cfeaa36391301659fb4a9db6901c1d5d3bca1dac,AGENTS.md,137,137,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P085,4.1 IaC 정책,155,155,106e96d1b028a7511e2c07c56c2f025e865ac9d980b70f2d45c9d6d5043d59f5,AGENTS.md,138,138,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P086,4.1 IaC 정책,157,157,cd2e9dd0e4d90ebfc8d752e5de042630af1d3fed324c6822d0a046c69139486b,AGENTS.md,140,140,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P087,4.1 IaC 정책,159,159,ecdbf5f2e919b12f3f0ac818073e74954d0eb3760aa9ce2756d3082ed840d023,AGENTS.md,142,142,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P088,4.1 IaC 정책,161,161,aece0ed5878f61d6fc4fc28f99ac75c43d9547357cb3475d5b8e0a841717e181,AGENTS.md,144,144,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P089,4.1 IaC 정책,162,162,9406a4a3e2af853e7770d8567deea327391060ffe30e5172a1a194499a955356,AGENTS.md,145,145,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P090,4.1 IaC 정책,163,163,0b27d6b6d4d7a3e7193c0d895aab4d104451e8336a9ac41260af806beba596fc,AGENTS.md,146,146,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
